Tube,Line,Sex,ID,Species,sppLevel1,sppLevel2,sppLevel3,sppLev4,Day.frozen,New.Vial.number.for.Metabolomics,Use,Raftery
225,Per-23,males,Per23.M,persimilis,pers.pseud,NA,NA,NA,3,147,1,146
73,MJCI-2008,males,Moj2008.M,mojavensis,NA,mojav.viril,NA,NA,1,90,1,147
186,Mel-14,males,Mel14.M,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,109,1,148
128,Sec-07,males,Sec07.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,112,1,149
57,Sim-006,females,Sim006.F,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,97,1,150
93,Ana-00,males,Ana00.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,149,1,151
84,Ana-15,females,Ana15.F,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,185,1,152
13,Wil-15,females,Wil15.F,willistoni,NA,NA,NA,NA,1,119,1,153
189,Mel-14,females,Mel14.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,103,1,154
21,Wil-02,males,Wil02.M,willistoni,NA,NA,NA,NA,1,94,1,155
157,Per-02,males,Per02.M,persimilis,pers.pseud,NA,NA,NA,2,163,1,156
71,Per-02,females,Per02.F,persimilis,pers.pseud,NA,NA,NA,1,220,1,157
198,Ere-00,females,Ere00.F,erecta,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,193,1,158
61,Pse-96,females,Pse96.F,pseudoobscura,pers.pseud,NA,NA,NA,1,128,1,159
6,Yak-00,females,Yak00.F,yakuba,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,106,1,160
11,Wil-15,males,Wil15.M,willistoni,NA,NA,NA,NA,1,188,1,161
168,MJCI-1002,females,Moj1002.F,mojavensis,NA,mojav.viril,NA,NA,2,143,1,162
192,Mel-14,females,Mel14.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,156,1,163
199,Ere-00,females,Ere00.F,erecta,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,135,1,164
27,Vir-48,males,Vir48.M,virilis,NA,mojav.viril,NA,NA,1,152,1,165
94,Ana-00,males,Ana00.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,206,1,166
221,MJ-122,females,Moj122.F,mojavensis,NA,mojav.viril,NA,NA,3,171,1,167
35,Vir-08,females,Vir08.F,virilis,NA,mojav.viril,NA,NA,1,195,1,168
222,MJ-122,females,Moj122.F,mojavensis,NA,mojav.viril,NA,NA,3,114,1,169
122,Sec-28,males,Sec28.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,170,1,170
117,Sim-006,males,Sim006.M,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,199,1,171
10,Wil-15,males,Wil15.M,willistoni,NA,NA,NA,NA,1,181,1,172
