Mass,Retention Time,Frequency
141.0191,7.007568,141
344.2601,3.6205492,140
464.1421,3.833293,140
507.9448,3.435029,140
250.1689,1.6087072,140
119.9565,3.1917498,140
412.2068,6.924793,139
194.1159,1.8712516,139
143.095,5.0853806,139
857.4674,1.458201,139
704.1631,3.2119431,139
246.9583,3.2047193,139
721.4959,2.6960785,139
145.1546,5.2326846,139
251.1002,4.430029,138
381.0796,3.1014705,138
203.1503,2.599022,138
563.0795,1.248449,138
368.2398,7.785994,138
521.1965,5.845218,138
739.4556,2.4610722,138
267.0343,5.603414,138
150.9405,3.3603115,138
107.002,2.1662478,137
204.118,3.7111084,137
137.0475,3.9143574,137
493.3164,4.423364,137
684.4135,3.0088027,137
149.0663,3.159643,137
367.0261,5.593608,136
360.9082,3.257808,136
207.0491,2.2793303,136
342.2802,2.2321546,136
160.1212,6.5565386,136
518.2286,1.6445147,136
132.0784,1.8433528,136
255.2514,1.3981471,136
385.113,3.111185,135
651.0335,3.0266895,135
685.242,2.377333,135
720.4988,4.3887033,135
680.0579,3.026504,135
370.9482,3.232193,135
112.0284,1.7504296,135
270.0512,3.0850158,135
411.26,1.5563775,135
371.2163,1.7249923,134
354.1485,7.406626,134
319.9534,3.421135,134
595.9925,3.0016117,134
449.1195,2.191851,134
967.1889,2.1760144,134
477.0114,3.000858,134
223.1065,4.168053,134
630.5341,3.4766343,134
233.9066,3.318616,133
101.0481,4.2910385,133
349.0761,4.3597445,133
189.0625,2.28297,133
469.2653,1.5990978,133
205.9994,3.5453458,133
477.2849,2.075241,133
342.0224,5.6365256,133
272.0276,3.5040996,132
227.1588,4.579054,132
283.2819,1.3790985,132
165.0745,2.3713033,132
111.0282,4.551166,132
444.2193,1.5457654,132
200.9953,3.0074453,132
871.0291,3.006789,132
297.9808,3.5232432,132
207.0555,2.6025224,132
917.5959,1.393599,132
252.1713,1.8537127,132
169.1195,4.3257265,132
265.1172,5.0047655,131
923.9995,3.0073278,131
536.5274,2.5955048,131
303.2741,2.047786,131
190.0954,4.275367,131
231.1344,6.581832,131
764.1988,2.5628247,131
334.0561,7.014665,131
223.1002,4.94316,131
215.1592,5.1585884,131
799.2167,2.947677,130
111.0412,2.1157773,130
166.0418,5.6147857,130
335.9341,3.4684615,130
242.0179,2.5877,130
150.0891,1.8162537,130
248.1296,1.5900925,130
126.031,2.3650465,130
311.814,3.3688078,130
224.0945,4.7479553,130
133.0356,2.2071311,130
285.0363,5.7163944,129
700.4018,4.812046,129
380.072,5.690504,129
572.044,2.97579,129
84.0212,2.0315197,129
153.016,3.3874114,129
850.2407,2.9448445,129
345.8951,3.386395,129
378.0687,3.0749779,129
179.0793,2.0307033,128
181.07,2.3521092,128
777.4956,3.57407,128
435.0563,1.2579921,128
162.0499,2.2764611,128
287.0671,2.218375,128
639.2889,1.573328,128
97.9753,3.573859,128
374.2168,7.259389,128
257.1036,6.7236094,128
728.2485,2.3257189,128
636.253,2.1793282,128
181.0598,2.1003122,128
425.2659,1.5537109,128
587.2712,2.150586,128
291.191,6.308433,127
409.2374,1.5342758,127
288.9478,3.2923703,127
246.049,2.2598422,127
719.3487,2.2159839,127
609.3104,2.6970232,127
217.9358,4.9613543,127
765.5089,4.683013,127
209.0058,4.8502355,127
838.2359,2.553119,127
135.9328,4.8493857,127
315.9072,3.251803,127
175.1189,2.738913,127
334.0629,2.4700878,126
165.0632,2.1441665,126
654.8335,3.2711272,126
351.1611,2.9580798,126
542.0707,3.0523808,126
239.0974,2.2160153,126
709.869,3.2652695,126
443.1574,5.010158,126
187.113,1.6518883,126
555.99,2.9926953,125
447.0013,3.007784,125
228.1459,5.996472,125
268.0373,5.634022,125
434.0557,3.039936,125
460.0699,3.0631602,125
288.1165,2.1212246,125
246.1327,4.2760406,125
348.2243,6.2405825,125
381.2511,1.5262961,125
224.0041,3.6086318,125
732.0822,3.7678716,125
733.0349,3.0207598,125
398.1911,3.8067746,125
363.0529,3.5942166,125
88.0529,1.8252981,124
781.269,3.11387,124
572.24,1.6420077,124
607.0805,2.3020725,124
450.1935,2.6967587,124
651.4019,2.3462174,124
98.0299,1.4854758,124
202.0394,8.136781,123
201.9621,5.038805,123
267.0964,4.383351,123
308.21,1.6316913,123
586.5307,2.961447,123
486.2067,6.7186904,123
529.0046,3.0112596,123
669.2345,2.3684664,122
