Genotype,Species.abbreviation,Species,Sex,Hours
ana00,ana,ananassae,female,241.65
ana00,ana,ananassae,female,241.65
ana00,ana,ananassae,female,288.04
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,503.87
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,840.32
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,900.26
ana00,ana,ananassae,female,959.95
ana00,ana,ananassae,female,1068.02
ana00,ana,ananassae,male,206.59
ana00,ana,ananassae,male,395.98
ana00,ana,ananassae,male,456.06
ana00,ana,ananassae,male,456.06
ana00,ana,ananassae,male,456.06
ana00,ana,ananassae,male,456.06
ana00,ana,ananassae,male,456.06
ana00,ana,ananassae,male,503.87
ana00,ana,ananassae,male,503.87
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,563.74
ana00,ana,ananassae,male,624.19
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,732.14
ana00,ana,ananassae,male,792.13
ana00,ana,ananassae,male,792.13
ana00,ana,ananassae,male,840.32
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,900.26
ana00,ana,ananassae,male,959.95
ana00,ana,ananassae,male,959.95
ana00,ana,ananassae,male,1008.03
ana00,ana,ananassae,male,1008.03
ana00,ana,ananassae,male,1008.03
ana00,ana,ananassae,male,1008.03
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1068.02
ana00,ana,ananassae,male,1128.53
ana00,ana,ananassae,male,1128.53
ana00,ana,ananassae,male,1128.53
ana00,ana,ananassae,male,1128.53
ana00,ana,ananassae,male,1176.75
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1236.18
ana00,ana,ananassae,male,1296.35
ana00,ana,ananassae,male,1296.35
ana00,ana,ananassae,male,1296.35
ana00,ana,ananassae,male,1344.72
ana00,ana,ananassae,male,1344.72
ana00,ana,ananassae,male,1344.72
ana00,ana,ananassae,male,1344.72
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1404.4
ana00,ana,ananassae,male,1463.74
ana00,ana,ananassae,male,1463.74
ana00,ana,ananassae,male,1463.74
ana00,ana,ananassae,male,1463.74
ana00,ana,ananassae,male,1463.74
ana00,ana,ananassae,male,1511.65
ana00,ana,ananassae,male,1511.65
ana00,ana,ananassae,male,1511.65
ana00,ana,ananassae,male,1511.65
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1571.51
ana00,ana,ananassae,male,1631.36
ana00,ana,ananassae,male,1631.36
ana00,ana,ananassae,male,1679.33
ana00,ana,ananassae,male,1739.11
ana00,ana,ananassae,male,1739.11
ana00,ana,ananassae,male,1739.11
ana00,ana,ananassae,male,1739.11
ana00,ana,ananassae,male,1906.93
ana00,ana,ananassae,male,1906.93
ana00,ana,ananassae,male,1906.93
ana00,ana,ananassae,male,1966.9
ana00,ana,ananassae,male,2076
ana00,ana,ananassae,male,2076
ana00,ana,ananassae,male,2076
ana00,ana,ananassae,male,2244.74
ana00,ana,ananassae,male,2412.51
ana12,ana,ananassae,female,206.58652778
ana12,ana,ananassae,female,241.65
ana12,ana,ananassae,female,288.0381944
ana12,ana,ananassae,female,288.0381944
ana12,ana,ananassae,female,288.0381944
ana12,ana,ananassae,female,336.0963889
ana12,ana,ananassae,female,336.0963889
ana12,ana,ananassae,female,336.0963889
ana12,ana,ananassae,female,395.9773611
ana12,ana,ananassae,female,563.7368056
ana12,ana,ananassae,female,563.7368056
ana12,ana,ananassae,female,563.7368056
ana12,ana,ananassae,female,672.2031944
ana12,ana,ananassae,female,732.1366667
ana12,ana,ananassae,female,732.1366667
ana12,ana,ananassae,female,732.1366667
ana12,ana,ananassae,female,732.1366667
ana12,ana,ananassae,female,840.3176389
ana12,ana,ananassae,female,840.3176389
ana12,ana,ananassae,female,840.3176389
ana12,ana,ananassae,female,900.2583333
ana12,ana,ananassae,female,900.2583333
ana12,ana,ananassae,female,900.2583333
ana12,ana,ananassae,female,900.2583333
ana12,ana,ananassae,female,900.2583333
ana12,ana,ananassae,female,959.9498611
ana12,ana,ananassae,female,959.9498611
ana12,ana,ananassae,female,959.9498611
ana12,ana,ananassae,female,1008.0338889
ana12,ana,ananassae,female,1008.0338889
ana12,ana,ananassae,female,1008.0338889
ana12,ana,ananassae,female,1008.0338889
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1068.0205556
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1128.5325
ana12,ana,ananassae,female,1176.754028
ana12,ana,ananassae,female,1176.754028
ana12,ana,ananassae,female,1176.754028
ana12,ana,ananassae,female,1176.754028
ana12,ana,ananassae,female,1176.754028
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1236.183333
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1296.352639
ana12,ana,ananassae,female,1344.7225
ana12,ana,ananassae,female,1344.7225
ana12,ana,ananassae,female,1344.7225
ana12,ana,ananassae,female,1344.7225
ana12,ana,ananassae,female,1404.402639
ana12,ana,ananassae,female,1404.402639
ana12,ana,ananassae,female,1404.402639
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1463.744028
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1571.505556
ana12,ana,ananassae,female,1631.362222
ana12,ana,ananassae,female,1679.328194
ana12,ana,ananassae,female,1679.328194
ana12,ana,ananassae,female,1679.328194
ana12,ana,ananassae,female,1679.328194
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1739.107361
ana12,ana,ananassae,female,1798.716528
ana12,ana,ananassae,female,1798.716528
ana12,ana,ananassae,female,1798.716528
ana12,ana,ananassae,female,1798.716528
ana12,ana,ananassae,female,1846.732639
ana12,ana,ananassae,female,1846.732639
ana12,ana,ananassae,female,1846.732639
ana12,ana,ananassae,female,1906.931667
ana12,ana,ananassae,female,1906.931667
ana12,ana,ananassae,female,1906.931667
ana12,ana,ananassae,female,2015.988889
ana12,ana,ananassae,female,2135.26125
ana12,ana,ananassae,female,2183.809722
ana12,ana,ananassae,female,2305.063194
ana12,ana,ananassae,male,241.65
ana12,ana,ananassae,male,288.0381944
ana12,ana,ananassae,male,395.9773611
ana12,ana,ananassae,male,456.05625
ana12,ana,ananassae,male,503.8651389
ana12,ana,ananassae,male,624.1944444
ana12,ana,ananassae,male,624.1944444
ana12,ana,ananassae,male,624.1944444
ana12,ana,ananassae,male,672.2031944
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,732.1366667
ana12,ana,ananassae,male,792.1309722
ana12,ana,ananassae,male,900.2583333
ana12,ana,ananassae,male,959.9498611
ana12,ana,ananassae,male,1008.0338889
ana12,ana,ananassae,male,1068.0205556
ana12,ana,ananassae,male,1068.0205556
ana12,ana,ananassae,male,1068.0205556
ana12,ana,ananassae,male,1128.5325
ana12,ana,ananassae,male,1128.5325
ana12,ana,ananassae,male,1176.754028
ana12,ana,ananassae,male,1236.183333
ana12,ana,ananassae,male,1296.352639
ana12,ana,ananassae,male,1344.7225
ana12,ana,ananassae,male,1344.7225
ana12,ana,ananassae,male,1344.7225
ana12,ana,ananassae,male,1404.402639
ana12,ana,ananassae,male,1404.402639
ana12,ana,ananassae,male,1404.402639
ana12,ana,ananassae,male,1404.402639
ana12,ana,ananassae,male,1404.402639
ana12,ana,ananassae,male,1463.744028
ana12,ana,ananassae,male,1463.744028
ana12,ana,ananassae,male,1511.646806
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1571.505556
ana12,ana,ananassae,male,1631.362222
ana12,ana,ananassae,male,1631.362222
ana12,ana,ananassae,male,1631.362222
ana12,ana,ananassae,male,1631.362222
ana12,ana,ananassae,male,1679.328194
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1739.107361
ana12,ana,ananassae,male,1798.716528
ana12,ana,ananassae,male,1798.716528
ana12,ana,ananassae,male,1798.716528
ana12,ana,ananassae,male,1798.716528
ana12,ana,ananassae,male,1798.716528
ana12,ana,ananassae,male,1846.732639
ana12,ana,ananassae,male,1906.931667
ana12,ana,ananassae,male,1906.931667
ana12,ana,ananassae,male,1966.899167
ana12,ana,ananassae,male,2015.988889
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2075.999444
ana12,ana,ananassae,male,2135.26125
ana12,ana,ananassae,male,2135.26125
ana12,ana,ananassae,male,2183.809722
ana12,ana,ananassae,male,2183.809722
ana12,ana,ananassae,male,2183.809722
ana12,ana,ananassae,male,2244.7425
ana12,ana,ananassae,male,2244.7425
ana12,ana,ananassae,male,2412.513333
ana12,ana,ananassae,male,2520.410139
ana12,ana,ananassae,male,2581.430972
ana12,ana,ananassae,male,2581.430972
ana12,ana,ananassae,male,2747.857361
ana15,ana,ananassae,female,288.0381944
ana15,ana,ananassae,female,732.1366667
ana15,ana,ananassae,female,1068.0205556
ana15,ana,ananassae,female,1176.754028
ana15,ana,ananassae,female,1176.754028
ana15,ana,ananassae,female,1296.352639
ana15,ana,ananassae,female,1344.7225
ana15,ana,ananassae,female,1344.7225
ana15,ana,ananassae,female,1344.7225
ana15,ana,ananassae,female,1404.402639
ana15,ana,ananassae,female,1404.402639
ana15,ana,ananassae,female,1404.402639
ana15,ana,ananassae,female,1463.744028
ana15,ana,ananassae,female,1463.744028
ana15,ana,ananassae,female,1463.744028
ana15,ana,ananassae,female,1511.646806
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1571.505556
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1631.362222
ana15,ana,ananassae,female,1679.328194
ana15,ana,ananassae,female,1739.107361
ana15,ana,ananassae,female,1739.107361
ana15,ana,ananassae,female,1739.107361
ana15,ana,ananassae,female,1739.107361
ana15,ana,ananassae,female,1798.716528
ana15,ana,ananassae,female,1798.716528
ana15,ana,ananassae,female,1798.716528
ana15,ana,ananassae,female,1846.732639
ana15,ana,ananassae,female,1846.732639
ana15,ana,ananassae,female,1846.732639
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,1906.931667
ana15,ana,ananassae,female,2015.988889
ana15,ana,ananassae,female,2015.988889
ana15,ana,ananassae,female,2135.26125
ana15,ana,ananassae,female,2135.26125
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,female,2183.809722
ana15,ana,ananassae,male,792.1309722
ana15,ana,ananassae,male,792.1309722
ana15,ana,ananassae,male,1008.0338889
ana15,ana,ananassae,male,1176.754028
ana15,ana,ananassae,male,1344.7225
ana15,ana,ananassae,male,1344.7225
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1404.402639
ana15,ana,ananassae,male,1463.744028
ana15,ana,ananassae,male,1463.744028
ana15,ana,ananassae,male,1511.646806
ana15,ana,ananassae,male,1511.646806
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1571.505556
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1631.362222
ana15,ana,ananassae,male,1679.328194
ana15,ana,ananassae,male,1679.328194
ana15,ana,ananassae,male,1739.107361
ana15,ana,ananassae,male,1739.107361
ana15,ana,ananassae,male,1739.107361
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1798.716528
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1846.732639
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1906.931667
ana15,ana,ananassae,male,1966.899167
ana15,ana,ananassae,male,1966.899167
ana15,ana,ananassae,male,1966.899167
ana15,ana,ananassae,male,1966.899167
ana15,ana,ananassae,male,1966.899167
ana15,ana,ananassae,male,2015.988889
ana15,ana,ananassae,male,2015.988889
ana15,ana,ananassae,male,2015.988889
ana15,ana,ananassae,male,2015.988889
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2075.999444
ana15,ana,ananassae,male,2135.26125
ana15,ana,ananassae,male,2135.26125
ana15,ana,ananassae,male,2135.26125
ana15,ana,ananassae,male,2135.26125
ana15,ana,ananassae,male,2135.26125
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2183.809722
ana15,ana,ananassae,male,2244.7425
ana15,ana,ananassae,male,2244.7425
ana15,ana,ananassae,male,2244.7425
ana15,ana,ananassae,male,2352.588333
ana15,ana,ananassae,male,2747.857361
ere00,ere,erecta,female,241.65
ere00,ere,erecta,female,241.65
ere00,ere,erecta,female,241.65
ere00,ere,erecta,female,288.0381944
ere00,ere,erecta,female,288.0381944
ere00,ere,erecta,female,288.0381944
ere00,ere,erecta,female,456.05625
ere00,ere,erecta,female,624.1944444
ere00,ere,erecta,female,672.2031944
ere00,ere,erecta,female,1008.0338889
ere00,ere,erecta,female,1068.0205556
ere00,ere,erecta,female,1128.5325
ere00,ere,erecta,female,1236.183333
ere00,ere,erecta,female,1236.183333
ere00,ere,erecta,female,1296.352639
ere00,ere,erecta,female,1344.7225
ere00,ere,erecta,female,1404.402639
ere00,ere,erecta,female,1571.505556
ere00,ere,erecta,female,1906.931667
ere00,ere,erecta,male,503.8651389
ere00,ere,erecta,male,503.8651389
ere00,ere,erecta,male,503.8651389
ere00,ere,erecta,male,900.2583333
ere00,ere,erecta,male,1008.0338889
ere00,ere,erecta,male,1128.5325
ere00,ere,erecta,male,1236.183333
ere00,ere,erecta,male,1296.352639
ere00,ere,erecta,male,1344.7225
ere00,ere,erecta,male,1344.7225
ere00,ere,erecta,male,1344.7225
ere00,ere,erecta,male,1344.7225
ere00,ere,erecta,male,1344.7225
ere00,ere,erecta,male,1404.402639
ere00,ere,erecta,male,1404.402639
ere00,ere,erecta,male,1631.362222
mel14,mel,melanogaster,female,288.0381944
mel14,mel,melanogaster,female,288.0381944
mel14,mel,melanogaster,female,288.0381944
mel14,mel,melanogaster,female,288.0381944
mel14,mel,melanogaster,female,900.2583333
mel14,mel,melanogaster,female,1296.352639
mel14,mel,melanogaster,female,1404.402639
mel14,mel,melanogaster,female,1404.402639
mel14,mel,melanogaster,female,1463.744028
mel14,mel,melanogaster,female,1511.646806
mel14,mel,melanogaster,female,1511.646806
mel14,mel,melanogaster,female,1571.505556
mel14,mel,melanogaster,female,1571.505556
mel14,mel,melanogaster,female,1571.505556
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1631.362222
mel14,mel,melanogaster,female,1679.328194
mel14,mel,melanogaster,female,1679.328194
mel14,mel,melanogaster,female,1739.107361
mel14,mel,melanogaster,female,1739.107361
mel14,mel,melanogaster,female,1739.107361
mel14,mel,melanogaster,female,1739.107361
mel14,mel,melanogaster,female,1739.107361
mel14,mel,melanogaster,female,1798.716528
mel14,mel,melanogaster,female,1798.716528
mel14,mel,melanogaster,male,288.0381944
mel14,mel,melanogaster,male,900.2583333
mel14,mel,melanogaster,male,900.2583333
mel14,mel,melanogaster,male,900.2583333
mel14,mel,melanogaster,male,959.9498611
mel14,mel,melanogaster,male,959.9498611
mel14,mel,melanogaster,male,959.9498611
mel14,mel,melanogaster,male,1068.0205556
mel14,mel,melanogaster,male,1068.0205556
mel14,mel,melanogaster,male,1068.0205556
mel14,mel,melanogaster,male,1068.0205556
mel14,mel,melanogaster,male,1068.0205556
mel14,mel,melanogaster,male,1128.5325
mel14,mel,melanogaster,male,1128.5325
mel14,mel,melanogaster,male,1176.754028
mel14,mel,melanogaster,male,1176.754028
mel14,mel,melanogaster,male,1176.754028
mel14,mel,melanogaster,male,1176.754028
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1236.183333
mel14,mel,melanogaster,male,1296.352639
mel14,mel,melanogaster,male,1344.7225
mel14,mel,melanogaster,male,1344.7225
mel14,mel,melanogaster,male,1404.402639
mel14,mel,melanogaster,male,1404.402639
mel14,mel,melanogaster,male,1404.402639
mel14,mel,melanogaster,male,1511.646806
mel14,mel,melanogaster,male,1906.931667
mel14,mel,melanogaster,male,1966.899167
mel14,mel,melanogaster,male,2015.988889
mel56,mel,melanogaster,female,241.65
mel56,mel,melanogaster,female,288.0381944
mel56,mel,melanogaster,female,288.0381944
mel56,mel,melanogaster,female,288.0381944
mel56,mel,melanogaster,female,336.0963889
mel56,mel,melanogaster,female,503.8651389
mel56,mel,melanogaster,female,1236.183333
mel56,mel,melanogaster,female,1404.402639
mel56,mel,melanogaster,female,1463.744028
mel56,mel,melanogaster,female,1571.505556
mel56,mel,melanogaster,female,1571.505556
mel56,mel,melanogaster,female,1571.505556
mel56,mel,melanogaster,female,1571.505556
mel56,mel,melanogaster,female,1631.362222
mel56,mel,melanogaster,female,1631.362222
mel56,mel,melanogaster,female,1631.362222
mel56,mel,melanogaster,female,1631.362222
mel56,mel,melanogaster,female,1631.362222
