sample.name,species,species.full,strain,sex,assnd.number,age.days,frozen.tube.number,weight.mg,mean.ls,median.ls,max.ls,h2o2.ls,pqt.ls,mz191,mz108,mz165,mz159,mz167,mz65,mz91,mz69,mz121,mz171,mz111,mz96,mz49,mz180,mz110,mz89,mz81,mz147,mz95,mz43,mz106,mz119,mz118,mz157,mz23,mz107,mz58,mz192,mz178,mz37,mz109,mz100,mz7,mz54,mz87,mz154,mz142,mz168,mz151,mz3,mz8,mz105,mz90,mz94,mz127,mz52,mz84,mz123,mz28,mz5,mz139,mz117,mz71,mz162,mz70,mz10,mz2,mz64,mz1,mz202,mz19,mz120,mz124,mz11,mz156,mz34,mz4,mz36,mz17,mz135,mz18,mz122,mz67,mz35,mz21,mz45,mz148,mz115,mz160,mz76,mz185,mz85,mz27,mz136,mz33,mz170,mz57,mz40,mz172,mz51,mz32,mz12,mz24,mz14,mz101,mz42,mz74,mz73,mz133,mz50,mz155,mz6,mz143,mz88,mz9,mz44,mz75,mz41,mz184,mz181,mz60,mz63,mz48,mz164,mz53,mz16
tube.59,ananassae,D. ananassae,ana12,F,375,31,59,1.114,52.2963854274502,51.507638875,96.0443,204.5,204.5,30646,18927,17353,90759,36908,10781386,41621,216933,NA,42090,47860,71933,39222,114654,82193,165227,106370,96980,125654,96929,236072,155259,154733,70720,215806,54091,158194,108417,131179,129387,68722,95597,104177,115413,211375,324585,229941,685299,262312,148573,390153,334481,301510,192004,919535,255585,222038,451688,226727,431871,489234,238149,556789,566687,431094,893679,1025119,6476551,523009,708648,1167442,612659,1337692,787561,1284440,1122754,1499091,512254,2268460,413953,1830198,1249987,2721126,446013,5651507,1879057,1887039,1730532,1669698,7220326,2469663,2130298,2686366,1503183,2919957,6498298,5083477,5060430,3327067,6502606,5604426,5976488,12193866,15377327,9777624,7705535,14176893,10551338,17143435,10299114,31321330,15065426,24413731,22602238,58531951,34902396,6770846,38654566,47333969,25328998,68943628,88406704,109262627,84906069,107428895,135747311
tube.6,ananassae,D. ananassae,ana15,M,33,5,6,0.614666667,74.916109246224,76.9471932916667,114.49406,72.5,96.14,NA,21415,48119,33475,57507,256072,37193,156155,NA,18059,32990,53035,NA,96383,36190,81065,66742,91739,60391,78379,103546,134256,102188,156279,163086,85545,132658,118940,105641,63391,46596,66186,295824,60197,77877,174064,498694,345721,188796,228400,248164,244942,197643,174819,897289,181543,91108,403603,407947,276247,247093,342987,242983,255413,414492,447863,673687,1275456,609225,982948,636374,845786,1113040,954178,979743,749671,2439525,1870920,1072709,506976,NA,1391697,1301833,1173661,914510,2151815,1795006,3083383,1272079,4209888,2056756,979538,1929500,2022700,2219972,4737863,3357902,3571230,1590333,4203535,3719231,6139122,13357875,21177985,7967517,7987154,5440928,23362944,20611414,12747800,19191451,13438929,13958854,22836513,34541648,37861025,17899819,49711169,44247030,39727949,63017953,80598573,75376813,36248636,86332134,140295936
tube.60,ananassae,D. ananassae,ana12,M,380,31,60,0.668,62.3431431687016,65.4793981666667,114.4941,132.04,168.14,42903,14198,41364,38787,72934,2194720,33252,198584,44296,10667,20330,66058,NA,104760,47225,44203,29364,78500,60173,34776,127639,148649,87157,36631,632833,58441,163739,72316,175010,34788,35691,46282,34944,29033,61800,589831,342930,1067050,291438,132020,281398,240716,178593,100003,810408,40706,213661,688618,309562,101035,306197,388559,181387,156105,142276,641943,434957,1874879,731588,112815,543857,677583,2054562,931603,843418,786332,1043543,620142,895281,259529,NA,1083746,1898482,422508,2656526,569558,2226294,2038807,975887,11699927,3429761,1607675,1801360,523892,2082814,3833720,5362021,1533043,357628,4322686,2834631,3580536,15814450,17351167,12954044,7435457,5006867,14777625,23433146,14925045,20187398,14566581,13237893,22002042,45674246,27335562,6361811,38476575,33722916,11390083,70580593,111374012,65911141,48644769,76284744,124695112
tube.61,ananassae,D. ananassae,ana15,F,382,31,61,0.848666667,68.998265600888,67.9734259166667,90.99207,84.26,179.95,NA,20859,26662,75682,65916,10348042,32019,351609,49929,20100,30070,57214,31553,191401,66497,181071,81607,100879,102016,74111,158058,109697,222045,67504,152653,147764,107331,111913,145401,98899,60967,76223,178125,76798,163751,335144,126788,1197061,149891,144124,350090,263861,286478,216661,250940,228019,103073,632727,197132,28027,336304,212662,632311,595993,772436,474363,688683,5535134,809443,775547,951943,799826,1895570,976167,706878,919868,1828762,834202,1820809,285438,823459,1525091,1231629,844845,1962657,2500831,1896883,3117760,1734268,14103565,2095752,1756775,2061972,1021650,3684285,3793956,3135813,4074897,2085568,8639170,6846573,7236615,11744862,19711507,7397850,8718622,17659037,23757088,18617976,17660385,21398693,15075047,22445097,23903669,49790816,35313451,29400230,50492758,47635682,17936106,64601002,95223010,153258572,69692565,103405860,131302537
tube.62,ananassae,D. ananassae,ana15,M,386,31,62,0.614666667,74.916109246224,76.9471932916667,114.49406,72.5,96.14,51824,36807,48383,72407,242593,1717113,24631,520648,NA,NA,27190,46163,NA,317300,69182,90951,61552,96579,162821,10655,239007,198574,140767,30541,424819,71008,138497,97322,221577,42414,46503,59419,39782,NA,115770,440901,233867,983165,349679,211554,224214,177110,132930,116604,402107,58532,87870,620103,246863,166927,360351,790399,202824,248033,250164,709753,624452,1662745,971625,90036,668040,659372,1961724,970801,656712,707782,1265880,496805,1169717,114427,NA,1325281,696866,518339,1854737,1002755,2031809,2655603,1192404,10962888,4083538,1779583,1794330,1492238,2305422,5481680,4642782,474268,35575,4412176,3188796,3898058,14574167,25942533,9516137,7054987,7565502,16221611,16317076,19518500,11965762,15686452,9885454,22755917,38338967,28992978,7182844,41080137,39462531,1352680,72938013,103108427,101878606,53975761,84032857,128453801
tube.63,erecta,D. erecta,ere00,F,389,31,63,1.116666667,36.2771646567982,42.0014120375,79.45549,59.72,120.76,NA,11917,27864,42287,22437,3405148,14609,72610,NA,NA,25920,60503,66918,102203,89614,76009,109899,117694,115199,25121,206720,165101,102735,23226,177292,63638,241050,102336,125379,74818,73605,86402,64159,33591,114333,91200,122757,1339060,230738,160409,270861,219577,175923,96480,801209,88164,237405,744716,142552,21691,259912,295195,576509,618736,632333,625377,320603,3734083,389334,366083,1640550,668291,2071702,890561,2082670,2172302,925177,288164,3492862,858113,637998,713403,1821868,963463,7429071,891079,2093901,2037961,1210842,14146227,1453847,2228208,4610467,2148012,4219384,7863716,7173520,1095830,694476,6722296,6646399,3331778,6843524,7450504,14052761,20800404,14747750,13547009,18859196,7776213,9671905,12295869,11260241,22250277,40601948,19841268,26367611,40805511,27640704,9429270,71611340,34313475,70386664,36863723,64471974,78064447
tube.64,erecta,D. erecta,ere00,M,390,31,64,0.612666667,47.5123336221354,55.0223987291667,67.97343,24.1,66.11,45605,29155,35654,87439,137477,4393035,53568,46376,NA,63510,42830,60621,227852,249715,61871,133215,178730,111362,44036,48554,114929,127363,289357,10634,248856,74896,398520,183937,177619,32168,45125,51478,240170,209768,108324,104645,173402,246993,236123,187129,370492,280273,398424,188377,952524,940174,240402,191723,852494,340810,184076,57773,351720,357753,451364,1225482,417527,9624928,1321130,981357,3549772,1796989,533577,761823,3234372,998509,1342558,2554296,7200755,454117,590141,1864340,1922244,214785,5366423,1556483,1652398,1752976,2002089,2809948,2356667,927173,2959153,19946369,7512245,5726496,12491958,2138558,7273162,8737348,12961497,6498832,23697444,37244404,13995572,12408582,11341285,11088259,17382604,25458779,32928291,23348150,28730690,23042131,56268467,47735497,77843255,74049202,71762686,41139551,65035341,78606986,211667712,83013139,122883634,216139756
tube.65,melanogaster,D. melanogaster,mel56,F,391,31,65,0.660666667,73.7597442523674,76.9471932916667,93.53094,96.14,179.95,NA,17422,45162,57196,81497,4525884,43841,184611,NA,NA,44610,52399,35173,154482,87055,215753,96451,115811,110131,16136,218476,118842,330474,33068,187623,67501,275308,165300,209227,98899,77475,65094,499672,30462,125878,308608,449748,858812,278191,150558,242360,284479,291412,183054,298718,340013,187701,331047,909754,52977,230643,143431,521609,500970,673368,1573952,577769,9969145,595008,230123,1215287,1265542,1060633,761851,3884182,1022908,1428098,1197063,2374091,258064,404314,1363536,1757624,2532809,2294050,1271988,1709452,4382774,1549808,10100838,2476545,1118527,5763084,3524960,6951919,5193252,9187420,470114,804860,13496540,9299429,6937319,16194078,24844122,18565242,24012638,24991487,32924250,17146833,11535452,11575356,21660560,21851437,23623196,38041751,38357709,33613007,65358673,46347523,25159172,60623314,46486108,196806686,56108524,117019995,152698168
tube.66,melanogaster,D. melanogaster,mel61,F,395,31,66,1.145333333,39.1444048478947,42.0014120375,62.98528,84.26,59.72,NA,25596,37740,87620,38354,7155048,49258,354938,NA,NA,30600,36398,82940,126577,111564,92136,188404,97862,80704,26148,193393,109736,332101,108116,196593,122640,79250,117714,176736,565271,103518,66125,244418,57186,189110,92359,344173,968411,230087,164734,231860,285900,220733,316229,770791,548635,67959,756626,477217,542938,713416,960348,353149,413023,788456,1718383,875104,11607093,855477,559656,1514654,1485401,2284430,1015767,7346036,1432594,1733449,3366503,2828230,117159,6201433,1587942,2023383,3042341,9784412,2113634,1629388,2924546,1146873,10162576,2533769,2299483,4374221,5015532,6336172,4599803,2396193,1007855,1466497,11836942,10126672,11025779,14279777,19768027,14684387,18325558,20095716,18723591,15739606,17270872,19429309,18667387,16669182,22664360,38069177,44135299,53481209,71006640,49172666,18160102,59997509,33984743,220560736,30368485,113944220,126516821
tube.67,pseudoobscura,D. pseudoobscura,pse33,F,396,31,67,1.113333333,50.2344770069279,51.507638875,79.45549,59.72,84.26,NA,25828,38551,71688,223243,2995862,55171,130251,NA,60830,51790,49332,78231,342916,68168,211456,157284,118895,45881,38210,136996,104685,331951,7820,173523,111617,285045,224254,161937,20816,51345,66009,403069,189117,100633,173954,134198,271609,201872,123612,366704,258124,440998,181411,371646,579065,271784,189714,1017080,107145,161396,114158,390691,394177,407094,1371308,520039,9439840,1088158,452870,2317155,1814633,495676,781415,3404760,672454,1642419,2199816,4366625,96732,714618,1673964,1792507,334454,4157347,1568228,1683311,1718856,1309751,3062855,3870108,1095011,2801598,5893319,5841666,3790043,9097135,1538107,7326079,9248461,9820375,5603703,21763455,31593441,11262758,11554750,16325977,13489713,13830084,21859226,27980461,25842557,32447243,23865418,53242049,43278261,78216645,75585696,67770284,37953938,60470847,80047309,182193654,112588526,118021343,203067478
