Mass,Retention Time,Frequency
298.0911,2.1922596,139
475.2714,2.1661942,139
162.0538,2.352431,139
135.8716,2.4169147,139
828.2741,5.008814,139
205.0381,5.852352,139
295.1261,4.2518415,139
133.0363,6.281819,139
855.2951,1.2946662,138
1038.2166,1.3125288,138
1030.456,1.3437394,138
597.3427,1.3544494,138
254.2245,1.3960726,138
784.1752,1.6245284,138
268.0818,2.1294925,138
172.0744,2.148341,138
789.5522,2.1528118,138
86.038,2.1973774,138
533.9314,3.8951309,138
451.9286,3.9715943,138
506.9697,4.029811,138
160.1038,3.9730508,138
395.2369,4.782992,138
202.0324,5.0919123,138
1062.2574,1.2877887,137
1074.3907,1.3252695,137
538.1542,1.3331752,137
687.4855,1.4440228,137
219.1118,2.2405624,137
131.0574,2.412467,137
408.9927,4.039459,137
168.0275,3.0274744,137
427.1809,4.610693,137
1010.7366,1.2312354,136
1082.2596,1.2867063,136
816.2281,1.3140366,136
1010.3777,1.3263088,136
254.512,1.3952208,136
272.2341,1.4359559,136
93.0342,1.4619704,136
594.28,1.4833089,136
720.1632,1.6241988,136
592.139,1.6208819,136
211.9905,1.6633458,136
815.5679,2.143963,136
548.1774,2.2045958,136
631.9079,3.9004333,136
386.1541,4.4992366,136
300.0162,1.5062939,136
798.1799,1.4382446,135
763.5357,1.5432818,135
656.1513,1.6234447,135
118.2534,2.1891108,135
631.334,2.1765628,135
579.3516,2.595592,135
549.9057,3.971888,135
647.8826,3.9724677,135
480.955,4.0254,135
268.0816,4.1645937,135
890.2167,1.3023661,134
624.4968,1.3148212,134
1094.4694,1.3414111,134
474.2296,1.4230071,134
692.4442,1.5486789,134
912.2003,1.6231796,134
848.1881,1.6231867,134
745.0688,3.5680084,134
745.8591,3.9726412,134
604.9471,4.022775,134
447.1579,4.358782,134
781.2848,4.324112,134
251.0904,5.040925,134
115.0629,5.2650366,134
203.0186,4.1437902,134
922.2287,1.2901126,134
243.0604,2.2090745,134
130.9828,1.0878274,133
1050.2552,1.2767297,133
794.2039,1.3046244,133
530.0597,1.3036239,133
880.2417,1.3077216,133
764.3427,1.31391,133
734.1673,1.4408119,133
815.5665,1.508812,133
101.0114,1.6293911,133
129.0416,2.672519,133
764.1881,3.2415042,133
413.964,3.8618784,133
755.2691,4.3268194,133
785.2794,4.3462462,133
764.1978,4.3403916,133
116.0104,6.2166085,133
134.1219,5.947077,133
174.0246,5.2643833,133
112.0154,1.6803788,132
647.3313,2.1777349,132
619.299,2.188447,132
165.0782,2.5311441,132
843.837,3.9727044,132
344.0438,5.691805,132
607.0921,5.9602113,132
242.0672,4.1619844,132
774.4098,1.3507025,131
715.5158,1.4364501,131
659.3654,2.153558,131
729.2161,3.3009307,131
552.039,3.5044734,131
142.2393,3.5129383,131
511.9414,3.8713055,131
578.9321,4.0177493,131
771.2641,4.340175,131
607.0806,4.638451,131
141.0188,7.4646096,131
117.078,3.0915356,131
652.5256,1.3123534,130
570.1432,1.3348308,130
624.1844,1.3320998,130
417.0303,1.4068071,130
174.0178,2.1218996,130
763.5359,2.165193,130
305.0791,2.2623076,130
224.078,2.4480388,130
131.0934,2.6365151,130
702.9236,4.0155387,130
147.0538,6.0154834,130
858.2171,1.2972709,129
826.1979,1.3115193,129
